file_names,satellite,year,month,total_rows,missing_values
1992/g07_xrs_1m_19921201_19921231.csv,goes07,1992,12,44640,47
1993/g07_xrs_1m_19930101_19930131.csv,goes07,1993,1,44640,310
1993/g07_xrs_1m_19930201_19930228.csv,goes07,1993,2,40320,357
1993/g07_xrs_1m_19930301_19930331.csv,goes07,1993,3,44640,455
1993/g07_xrs_1m_19930401_19930430.csv,goes07,1993,4,43200,40
1993/g06_xrs_1m_19930501_19930531.csv,goes06,1993,5,44640,238
1993/g06_xrs_1m_19930601_19930630.csv,goes06,1993,6,43200,252
1993/g07_xrs_1m_19930701_19930731.csv,goes07,1993,7,44640,139
1993/g07_xrs_1m_19930801_19930831.csv,goes07,1993,8,44640,151
1993/g07_xrs_1m_19930901_19930930.csv,goes07,1993,9,43200,2011
1993/g07_xrs_1m_19931001_19931031.csv,goes07,1993,10,44640,645
1993/g06_xrs_1m_19931101_19931130.csv,goes06,1993,11,43200,321
1993/g07_xrs_1m_19931201_19931231.csv,goes07,1993,12,44640,187
1994/g07_xrs_1m_19940101_19940131.csv,goes07,1994,1,44640,50
1994/g07_xrs_1m_19940201_19940228.csv,goes07,1994,2,40320,365
1994/g07_xrs_1m_19940301_19940331.csv,goes07,1994,3,44640,2414
1994/g07_xrs_1m_19940401_19940430.csv,goes07,1994,4,43200,467
1994/g07_xrs_1m_19940501_19940531.csv,goes07,1994,5,44640,149
1994/g07_xrs_1m_19940601_19940630.csv,goes07,1994,6,43200,552
1994/g07_xrs_1m_19940701_19940731.csv,goes07,1994,7,44640,772
1994/g07_xrs_1m_19940801_19940831.csv,goes07,1994,8,44640,334
1994/g07_xrs_1m_19940901_19940930.csv,goes07,1994,9,43200,2076
1994/g07_xrs_1m_19941001_19941031.csv,goes07,1994,10,44640,1220
1994/g07_xrs_1m_19941101_19941130.csv,goes07,1994,11,43200,431
1994/g07_xrs_1m_19941201_19941231.csv,goes07,1994,12,44640,105
1995/g07_xrs_1m_19950101_19950131.csv,goes07,1995,1,44640,50
1995/g08_xrs_1m_19950201_19950228.csv,goes08,1995,2,40320,52
1995/g08_xrs_1m_19950301_19950331.csv,goes08,1995,3,44640,1955
1995/g07_xrs_1m_19950401_19950430.csv,goes07,1995,4,43200,349
1995/g08_xrs_1m_19950501_19950531.csv,goes08,1995,5,44640,56
1995/g07_xrs_1m_19950601_19950630.csv,goes07,1995,6,43200,1759
1995/g08_xrs_1m_19950701_19950731.csv,goes08,1995,7,44640,1599
1995/g08_xrs_1m_19950801_19950831.csv,goes08,1995,8,44640,262
1995/g08_xrs_1m_19950901_19950930.csv,goes08,1995,9,43200,1872
1995/g08_xrs_1m_19951001_19951031.csv,goes08,1995,10,44640,813
1995/g07_xrs_1m_19951101_19951130.csv,goes07,1995,11,43200,405
1995/g07_xrs_1m_19951201_19951231.csv,goes07,1995,12,44640,149
1996/g08_xrs_1m_19960101_19960131.csv,goes08,1996,1,44640,377
1996/g08_xrs_1m_19960201_19960229.csv,goes08,1996,2,41760,326
1996/g07_xrs_1m_19960301_19960331.csv,goes07,1996,3,44640,2065
1996/g08_xrs_1m_19960401_19960430.csv,goes08,1996,4,43200,796
1996/g09_xrs_1m_19960501_19960531.csv,goes09,1996,5,44640,250
1996/g08_xrs_1m_19960601_19960630.csv,goes08,1996,6,43200,73
1996/g09_xrs_1m_19960701_19960731.csv,goes09,1996,7,44640,229
1996/g08_xrs_1m_19960801_19960831.csv,goes08,1996,8,44640,328
1996/g09_xrs_1m_19960901_19960930.csv,goes09,1996,9,43200,2129
1996/g08_xrs_1m_19961001_19961031.csv,goes08,1996,10,44640,823
1996/g08_xrs_1m_19961101_19961130.csv,goes08,1996,11,43200,266
1996/g09_xrs_1m_19961201_19961231.csv,goes09,1996,12,44640,74
1997/g09_xrs_1m_19970101_19970131.csv,goes09,1997,1,44640,188
1997/g09_xrs_1m_19970201_19970228.csv,goes09,1997,2,40320,472
1997/g09_xrs_1m_19970301_19970331.csv,goes09,1997,3,44640,2036
1997/g08_xrs_1m_19970401_19970430.csv,goes08,1997,4,43200,972
1997/g09_xrs_1m_19970501_19970531.csv,goes09,1997,5,44640,1590
1997/g08_xrs_1m_19970601_19970630.csv,goes08,1997,6,43200,853
1997/g09_xrs_1m_19970701_19970731.csv,goes09,1997,7,44640,31
1997/g08_xrs_1m_19970801_19970831.csv,goes08,1997,8,44640,90
1997/g08_xrs_1m_19970901_19970930.csv,goes08,1997,9,43200,1961
1997/g09_xrs_1m_19971001_19971031.csv,goes09,1997,10,44640,1419
1997/g09_xrs_1m_19971101_19971130.csv,goes09,1997,11,43200,21
1997/g09_xrs_1m_19971201_19971231.csv,goes09,1997,12,44640,36
1998/g08_xrs_1m_19980101_19980131.csv,goes08,1998,1,44640,67
1998/g08_xrs_1m_19980201_19980228.csv,goes08,1998,2,40320,366
1998/g09_xrs_1m_19980301_19980331.csv,goes09,1998,3,44640,2071
1998/g08_xrs_1m_19980401_19980430.csv,goes08,1998,4,43200,642
1998/g09_xrs_1m_19980501_19980531.csv,goes09,1998,5,44640,51
1998/g08_xrs_1m_19980601_19980630.csv,goes08,1998,6,43200,29
1998/g08_xrs_1m_19980701_19980731.csv,goes08,1998,7,44640,26
1998/g10_xrs_1m_19980801_19980831.csv,goes10,1998,8,44640,143
1998/g08_xrs_1m_19980901_19980930.csv,goes08,1998,9,43200,1902
1998/g08_xrs_1m_19981001_19981031.csv,goes08,1998,10,44640,1371
1998/g08_xrs_1m_19981101_19981130.csv,goes08,1998,11,43200,22
1998/g10_xrs_1m_19981201_19981231.csv,goes10,1998,12,44640,30
1999/g10_xrs_1m_19990101_19990131.csv,goes10,1999,1,44640,197
1999/g10_xrs_1m_19990201_19990228.csv,goes10,1999,2,40320,128
1999/g08_xrs_1m_19990301_19990331.csv,goes08,1999,3,44640,2182
1999/g08_xrs_1m_19990401_19990430.csv,goes08,1999,4,43200,1045
1999/g08_xrs_1m_19990501_19990531.csv,goes08,1999,5,44640,154
1999/g08_xrs_1m_19990601_19990630.csv,goes08,1999,6,43200,85
1999/g08_xrs_1m_19990701_19990731.csv,goes08,1999,7,44640,184
1999/g08_xrs_1m_19990801_19990831.csv,goes08,1999,8,44640,146
1999/g08_xrs_1m_19990901_19990930.csv,goes08,1999,9,43200,1903
1999/g10_xrs_1m_19991001_19991031.csv,goes10,1999,10,44640,979
1999/g08_xrs_1m_19991101_19991130.csv,goes08,1999,11,43200,18
1999/g08_xrs_1m_19991201_19991231.csv,goes08,1999,12,44640,41
2000/g10_xrs_1m_20000101_20000131.csv,goes10,2000,1,44640,198
2000/g10_xrs_1m_20000201_20000229.csv,goes10,2000,2,41760,175
2000/g08_xrs_1m_20000301_20000331.csv,goes08,2000,3,44640,2070
2000/g08_xrs_1m_20000401_20000430.csv,goes08,2000,4,43200,583
2000/g10_xrs_1m_20000501_20000531.csv,goes10,2000,5,44640,45
2000/g08_xrs_1m_20000601_20000630.csv,goes08,2000,6,43200,44
2000/g08_xrs_1m_20000701_20000731.csv,goes08,2000,7,44640,77
2000/g10_xrs_1m_20000801_20000831.csv,goes10,2000,8,44640,238
2000/g10_xrs_1m_20000901_20000930.csv,goes10,2000,9,43200,2135
2000/g08_xrs_1m_20001001_20001031.csv,goes08,2000,10,44640,972
2000/g08_xrs_1m_20001101_20001130.csv,goes08,2000,11,43200,39
